heartrate,Outcome
70,0
70,0
70,0
70,0
69,0
66,0
68,0
71,0
71,0
73,0
75,0
81,0
91,1
109,1
119,1
123,1
124,1
159,1
168,1
171,1
177,1
183,1
185,1
186,1
186,1
186,1
186,1
181,1
179,1
176,1
136,1
135,1
134,1
130,1
111,0
110,0
109,0
108,0
108,0
108,0
108,0
106,0
103,0
102,0
100,0
100,0
94,0
93,0
86,0
84,0
84,0
84,0
84,0
84,0
85,0
85,0
83,0
82,0
81,0
81,0
81,0
81,0
81,0
81,0
62,0
62,0
62,0
62,0
62,0
62,0
62,0
64,0
62,0
63,0
62,0
67,1
70,1
78,1
114,1
114,1
145,1
150,1
151,1
152,1
147,1
135,1
118,1
114,1
111,1
110,1
104,1
104,1
102,0
93,0
93,0
89,0
87,0
87,0
86,0
85,0
85,0
82,0
82,0
82,0
82,0
82,0
82,0
82,0
81,0
81,0
80,0
80,0
78,0
78,0
78,0
78,0
78,0
78,0
75,0
75,0
75,0
75,0
72,0
63,0
62,0
62,0
62,0
64,0
63,0
63,0
62,0
62,0
62,0
63,0
67,0
68,0
71,0
83,0
85,0
151,0
143,0
142,0
141,0
103,0
103,0
100,0
97,0
97,0
91,0
90,0
90,0
88,0
87,0
87,0
87,0
87,0
87,0
87,0
86,0
86,0
85,0
84,0
82,0
82,0
82,0
82,0
82,0
79,0
78,0
78,0
78,0
78,0
78,0
78,0
77,0
76,0
75,0
75,0
75,0
70,0
69,0
68,0
71,0
71,0
71,0
71,0
69,0
69,0
69,0
70,0
70,0
72,0
72,0
72,0
72,0
72,0
70,0
70,0
69,0
68,0
68,0
68,0
68,0
68,0
69,0
69,0
70,0
70,0
72,0
74,0
78,0
82,0
83,0
108,1
164,1
165,1
169,1
184,1
186,1
218,1
222,1
222,1
216,1
212,1
209,1
208,1
206,1
204,1
202,1
200,1
193,1
184,1
176,1
165,1
163,1
157,1
157,1
121,1
120,1
117,1
112,1
112,1
112,1
106,1
96,0
94,0
94,0
97,0
91,0
87,0
77,0
73,0
72,0
70,0
69,0
67,0
66,0
65,0
65,0
68,0
77,0
81,0
116,1
123,1
148,1
175,1
182,1
186,1
201,1
201,1
197,1
193,1
193,1
193,1
187,1
175,1
157,1
143,1
139,1
137,1
136,1
132,1
131,1
125,1
122,1
121,1
106,1
100,1
100,1
100,1
99,0
96,0
95,0
94,0
92,0
93,0
93,0
91,0
75,0
78,0
80,0
81,0
81,0
84,0
84,0
85,0
85,0
85,0
82,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
82,0
84,0
85,0
86,0
105,1
118,1
135,1
176,1
179,1
183,1
183,1
183,1
183,1
183,1
183,1
172,1
169,1
166,1
165,1
164,1
160,1
151,1
150,1
149,1
149,1
149,1
148,1
139,1
138,1
134,1
128,1
128,1
124,1
117,1
112,1
105,1
100,1
94,0
94,0
94,0
95,0
95,0
96,0
96,0
94,0
89,0
80,0
74,0
79,0
79,0
79,0
77,0
77,0
77,0
77,0
78,0
78,0
77,0
77,0
79,0
82,0
82,0
86,0
90,0
92,0
97,0
102,1
141,1
146,1
175,1
167,1
166,1
160,1
159,1
158,1
151,1
146,1
142,1
141,1
139,1
126,1
123,1
122,1
120,1
120,1
117,1
117,1
117,1
103,1
101,1
101,1
94,0
92,0
90,0
81,0
79,0
78,0
74,0
74,0
74,0
85,0
85,0
86,0
87,0
87,0
88,0
88,0
93,0
93,0
95,0
95,0
110,1
113,1
115,1
116,1
148,1
184,1
196,1
207,1
207,1
210,1
203,1
195,1
194,1
191,1
186,1
181,1
173,1
168,1
166,1
160,1
154,1
153,1
128,0
123,0
119,0
119,0
108,0
107,0
105,0
104,0
101,0
99,0
98,0
96,0
96,0
94,0
92,0
87,0
87,0
87,0
87,0
87,0
87,0
87,0
87,0
67,0
67,0
70,0
77,0
77,0
87,0
87,0
94,0
98,0
98,0
99,0
99,0
99,0
100,1
101,1
101,1
100,1
100,1
100,1
104,1
117,1
121,1
126,1
127,1
129,1
197,1
235,1
235,1
223,1
222,1
222,1
220,1
215,1
206,1
193,1
189,1
186,1
176,1
149,1
143,1
143,1
140,1
139,1
137,1
137,1
136,1
136,1
134,1
134,1
134,1
134,1
131,1
131,1
129,1
129,1
129,1
129,1
131,1
131,1
129,1
129,1
129,1
129,1
112,1
112,1
112,1
111,1
111,1
111,1
111,1
111,1
112,1
112,1
117,1
124,1
141,1
149,1
157,1
152,1
152,1
151,1
139,1
135,1
133,1
127,1
125,1
122,1
119,1
115,1
115,1
115,1
115,1
115,1
114,1
111,1
108,1
108,1
108,1
102,1
93,0
89,0
89,0
87,0
87,0
87,0
87,0
88,0
88,0
88,0
88,0
88,0
91,0
91,0
91,0
88,0
87,0
85,0
83,0
82,0
77,0
77,0
75,0
80,0
82,0
83,0
109,1
108,1
108,1
109,1
109,1
110,1
110,1
110,1
110,1
110,1
111,1
131,1
143,1
